ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
ID,,Good,#34cc33,0,50,PM2.5,ug/m3,24,0,15.5
ID,,Good,#34cc33,0,50,PM10,ug/m3,24,0,50
ID,,Good,#34cc33,0,50,SO2,ug/m3,24,0,52
ID,,Good,#34cc33,0,50,CO,ug/m3,24,0,4000
ID,,Good,#34cc33,0,50,O3,ug/m3,24,0,120
ID,,Good,#34cc33,0,50,NO2,ug/m3,24,0,80
ID,,Good,#34cc33,0,50,HC,ug/m3,24,0,45
ID,,Moderate,#0070c0,51,100,PM2.5,ug/m3,24,15.6,55.4
ID,,Moderate,#0070c0,51,100,PM10,ug/m3,24,51,150
ID,,Moderate,#0070c0,51,100,SO2,ug/m3,24,53,180
ID,,Moderate,#0070c0,51,100,CO,ug/m3,24,4001,8000
ID,,Moderate,#0070c0,51,100,O3,ug/m3,24,121,235
ID,,Moderate,#0070c0,51,100,NO2,ug/m3,24,81,2000
ID,,Moderate,#0070c0,51,100,HC,ug/m3,24,46,100
ID,,Not healthy,#ffc100,101,200,PM2.5,ug/m3,24,55.5,150.4
ID,,Not healthy,#ffc100,101,200,PM10,ug/m3,24,151,350
ID,,Not healthy,#ffc100,101,200,SO2,ug/m3,24,181,400
ID,,Not healthy,#ffc100,101,200,CO,ug/m3,24,8001,15000
ID,,Not healthy,#ffc100,101,200,O3,ug/m3,24,236,400
ID,,Not healthy,#ffc100,101,200,NO2,ug/m3,24,201,1130
ID,,Not healthy,#ffc100,101,200,HC,ug/m3,24,101,215
ID,,Very unhealthy,#ff0000,201,300,PM2.5,ug/m3,24,150.5,250.4
ID,,Very unhealthy,#ff0000,201,300,PM10,ug/m3,24,351,420
ID,,Very unhealthy,#ff0000,201,300,SO2,ug/m3,24,401,800
ID,,Very unhealthy,#ff0000,201,300,CO,ug/m3,24,15001,30000
ID,,Very unhealthy,#ff0000,201,300,O3,ug/m3,24,401,800
ID,,Very unhealthy,#ff0000,201,300,NO2,ug/m3,24,1131,2260
ID,,Very unhealthy,#ff0000,201,300,HC,ug/m3,24,216,432
ID,,Dangerous,#000000,300,,PM2.5,ug/m3,24,250.5,500
ID,,Dangerous,#000000,300,,PM10,ug/m3,24,421,500
ID,,Dangerous,#000000,300,,SO2,ug/m3,24,801,1200
ID,,Dangerous,#000000,300,,CO,ug/m3,24,30001,45000
ID,,Dangerous,#000000,300,,O3,ug/m3,24,801,1000
ID,,Dangerous,#000000,300,,NO2,ug/m3,24,2261,3000
ID,,Dangerous,#000000,300,,HC,ug/m3,24,433,648
