ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
CN,,Excellent,#00E400,0,50,SO2,ug/m3,24,0,50
CN,,Excellent,#00E400,0,50,SO2,ug/m3,1,0,150
CN,,Excellent,#00E400,0,50,NO2,ug/m3,24,0,40
CN,,Excellent,#00E400,0,50,NO2,ug/m3,1,0,100
CN,,Excellent,#00E400,0,50,PM10,ug/m3,24,0,50
CN,,Excellent,#00E400,0,50,CO,mg/m3,24,0,2
CN,,Excellent,#00E400,0,50,CO,mg/m3,1,0,5
CN,,Excellent,#00E400,0,50,O3,ug/m3,1,0,160
CN,,Excellent,#00E400,0,50,O3,ug/m3,8,0,100
CN,,Excellent,#00E400,0,50,PM2.5,ug/m3,24,0,35
CN,,Good,#FFFF00,51,100,SO2,ug/m3,24,51,150
CN,,Good,#FFFF00,51,100,SO2,ug/m3,1,151,500
CN,,Good,#FFFF00,51,100,NO2,ug/m3,24,41,80
CN,,Good,#FFFF00,51,100,NO2,ug/m3,1,101,200
CN,,Good,#FFFF00,51,100,PM10,ug/m3,24,51,150
CN,,Good,#FFFF00,51,100,CO,mg/m3,24,2.1,4
CN,,Good,#FFFF00,51,100,CO,mg/m3,1,5.1,10
CN,,Good,#FFFF00,51,100,O3,ug/m3,1,161,200
CN,,Good,#FFFF00,51,100,O3,ug/m3,8,101,160
CN,,Good,#FFFF00,51,100,PM2.5,ug/m3,24,36,75
CN,,Lightly polluted,#FF7E00,101,150,SO2,ug/m3,24,151,475
CN,,Lightly polluted,#FF7E00,101,150,SO2,ug/m3,1,501,650
CN,,Lightly polluted,#FF7E00,101,150,NO2,ug/m3,24,81,180
CN,,Lightly polluted,#FF7E00,101,150,NO2,ug/m3,1,201,700
CN,,Lightly polluted,#FF7E00,101,150,PM10,ug/m3,24,151,250
CN,,Lightly polluted,#FF7E00,101,150,CO,mg/m3,24,4.1,14
CN,,Lightly polluted,#FF7E00,101,150,CO,mg/m3,1,10.1,35
CN,,Lightly polluted,#FF7E00,101,150,O3,ug/m3,1,201,300
CN,,Lightly polluted,#FF7E00,101,150,O3,ug/m3,8,161,215
CN,,Lightly polluted,#FF7E00,101,150,PM2.5,ug/m3,24,76,115
CN,,Moderately polluted,#FF0000,151,200,SO2,ug/m3,24,476,800
CN,,Moderately polluted,#FF0000,151,200,SO2,ug/m3,1,651,800
CN,,Moderately polluted,#FF0000,151,200,NO2,ug/m3,24,181,280
CN,,Moderately polluted,#FF0000,151,200,NO2,ug/m3,1,701,1200
CN,,Moderately polluted,#FF0000,151,200,PM10,ug/m3,24,251,350
CN,,Moderately polluted,#FF0000,151,200,CO,mg/m3,24,14.1,24
CN,,Moderately polluted,#FF0000,151,200,CO,mg/m3,1,35.1,60
CN,,Moderately polluted,#FF0000,151,200,O3,ug/m3,1,301,400
CN,,Moderately polluted,#FF0000,151,200,O3,ug/m3,8,216,265
CN,,Moderately polluted,#FF0000,151,200,PM2.5,ug/m3,24,116,150
CN,,Severely polluted,#7E0023,300,,PM2.5,ug/m3,24,251,
CN,,Heavily polluted,#99004C,201,300,SO2,ug/m3,24,801,1600
CN,,Heavily polluted,#99004C,201,300,SO2,ug/m3,1,801,
CN,,Heavily polluted,#99004C,201,300,NO2,ug/m3,24,281,565
CN,,Heavily polluted,#99004C,201,300,NO2,ug/m3,1,1201,2340
CN,,Heavily polluted,#99004C,201,300,PM10,ug/m3,24,351,420
CN,,Heavily polluted,#99004C,201,300,CO,mg/m3,24,24.1,36
CN,,Heavily polluted,#99004C,201,300,CO,mg/m3,1,60.1,90
CN,,Heavily polluted,#99004C,201,300,O3,ug/m3,1,401,800
