ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
BRA,Rio de Janeiro,Boa (Good),#02FE00,0,50,SO2,ug/m3,24,0,80
BRA,Rio de Janeiro,Boa (Good),#02FE00,0,50,CO,ppm,8,0,4
BRA,Rio de Janeiro,Boa (Good),#02FE00,0,50,PM10,ug/m3,24,0,50
BRA,Rio de Janeiro,Boa (Good),#02FE00,0,50,O3,ug/m3,8,0,80
BRA,Rio de Janeiro,Boa (Good),#02FE00,0,50,NO2,ug/m3,1,0,100
BRA,Rio de Janeiro,Regular (Regular),#FFFF00,51,100,SO2,ug/m3,24,81,365
BRA,Rio de Janeiro,Regular (Regular),#FFFF00,51,100,CO,ppm,8,4.1,9
BRA,Rio de Janeiro,Regular (Regular),#FFFF00,51,100,PM10,ug/m3,24,51,150
BRA,Rio de Janeiro,Regular (Regular),#FFFF00,51,100,O3,ug/m3,8,81,160
BRA,Rio de Janeiro,Regular (Regular),#FFFF00,51,100,NO2,ug/m3,1,101,320
BRA,Rio de Janeiro,Inadequada (Inadequate),#FF7E00,101,199,SO2,ug/m3,24,366,800
BRA,Rio de Janeiro,Inadequada (Inadequate),#FF7E00,101,199,CO,ppm,8,9.1,15
BRA,Rio de Janeiro,Inadequada (Inadequate),#FF7E00,101,199,PM10,ug/m3,24,151,250
BRA,Rio de Janeiro,Inadequada (Inadequate),#FF7E00,101,199,O3,ug/m3,8,161,200
BRA,Rio de Janeiro,Inadequada (Inadequate),#FF7E00,101,199,NO2,ug/m3,1,321,1130
BRA,Rio de Janeiro,Má (Bad),#FF0000,200,299,SO2,ug/m3,24,801,1600
BRA,Rio de Janeiro,Má (Bad),#FF0000,200,299,CO,ppm,8,15.1,30
BRA,Rio de Janeiro,Má (Bad),#FF0000,200,299,PM10,ug/m3,24,251,420
BRA,Rio de Janeiro,Má (Bad),#FF0000,200,299,O3,ug/m3,8,201,800
BRA,Rio de Janeiro,Má (Bad),#FF0000,200,299,NO2,ug/m3,1,1131,2260
BRA,Rio de Janeiro,Péssima (Terrible),#99004B,300,,SO2,ug/m3,24,1600,
BRA,Rio de Janeiro,Péssima (Terrible),#99004B,300,,CO,ppm,8,30,
BRA,Rio de Janeiro,Péssima (Terrible),#99004B,300,,PM10,ug/m3,24,420,
BRA,Rio de Janeiro,Péssima (Terrible),#99004B,300,,O3,ug/m3,8,800,
BRA,Rio de Janeiro,Péssima (Terrible),#99004B,300,,NO2,ug/m3,1,2260,
BRA,São Paulo,Good,#00CB00,0,40,SO2,ug/m3,24,0,20
BRA,São Paulo,Good,#00CB00,0,40,CO,ppm,8,0,9
BRA,São Paulo,Good,#00CB00,0,40,PM10,ug/m3,24,0,50
BRA,São Paulo,Good,#00CB00,0,40,O3,ug/m3,8,0,100
BRA,São Paulo,Good,#00CB00,0,40,NO2,ug/m3,1,0,200
BRA,São Paulo,Moderate ,#FFFF00,41,80,SO2,ug/m3,24,20,40
BRA,São Paulo,Moderate ,#FFFF00,41,80,CO,ppm,8,9,11
BRA,São Paulo,Moderate ,#FFFF00,41,80,PM10,ug/m3,24,50,100
BRA,São Paulo,Moderate ,#FFFF00,41,80,O3,ug/m3,8,100,130
BRA,São Paulo,Moderate ,#FFFF00,41,80,NO2,ug/m3,1,200,240
BRA,São Paulo,Bad,#FEAA70,81,120,SO2,ug/m3,24,40,365
BRA,São Paulo,Bad,#FEAA70,81,120,CO,ppm,8,11,13
BRA,São Paulo,Bad,#FEAA70,81,120,PM10,ug/m3,24,100,150
BRA,São Paulo,Bad,#FEAA70,81,120,O3,ug/m3,8,130,160
BRA,São Paulo,Bad,#FEAA70,81,120,NO2,ug/m3,1,240,320
BRA,São Paulo,Very Bad,#FF1005,121,200,SO2,ug/m3,24,365,800
BRA,São Paulo,Very Bad,#FF1005,121,200,CO,ppm,8,13,15
BRA,São Paulo,Very Bad,#FF1005,121,200,PM10,ug/m3,24,150,250
BRA,São Paulo,Very Bad,#FF1005,121,200,O3,ug/m3,8,160,200
BRA,São Paulo,Very Bad,#FF1005,121,200,NO2,ug/m3,1,320,1130
BRA,São Paulo,Terrible,#990065,200,,SO2,ug/m3,24,800,
BRA,São Paulo,Terrible,#990065,200,,CO,ppm,8,15,
BRA,São Paulo,Terrible,#990065,200,,PM10,ug/m3,24,250,
BRA,São Paulo,Terrible,#990065,200,,O3,ug/m3,8,200,
BRA,São Paulo,Terrible,#990065,200,,NO2,ug/m3,1,1130,
