ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
EU,"old",Good,#50f0e6,1,"",PM2.5,ug/m3,24,0,10
EU,"old",Good,#50f0e6,1,"",PM10,ug/m3,24,0,20
EU,"old",Good,#50f0e6,1,"",O3,ug/m3,1,0,50
EU,"old",Good,#50f0e6,1,"",SO2,ug/m3,1,0,100
EU,"old",Good,#50f0e6,1,"",NO2,ug/m3,1,0,40
EU,"old",Fair,#50ccaa,2,"",PM2.5,ug/m3,24,10.1,20
EU,"old",Fair,#50ccaa,2,"",PM10,ug/m3,24,20.1,40
EU,"old",Fair,#50ccaa,2,"",O3,ug/m3,1,50.1,100
EU,"old",Fair,#50ccaa,2,"",SO2,ug/m3,1,100.1,200
EU,"old",Fair,#50ccaa,2,"",NO2,ug/m3,1,40.1,90
EU,"old",Moderate,#f0e641,3,"",PM2.5,ug/m3,24,20.1,25
EU,"old",Moderate,#f0e641,3,"",PM10,ug/m3,24,40.1,50
EU,"old",Moderate,#f0e641,3,"",O3,ug/m3,1,100.1,130
EU,"old",Moderate,#f0e641,3,"",SO2,ug/m3,1,200.1,350
EU,"old",Moderate,#f0e641,3,"",NO2,ug/m3,1,90.1,120
EU,"old",Poor,#ff5050,4,"",PM2.5,ug/m3,24,25.1,50
EU,"old",Poor,#ff5050,4,"",PM10,ug/m3,24,50.1,100
EU,"old",Poor,#ff5050,4,"",O3,ug/m3,1,130.1,240
EU,"old",Poor,#ff5050,4,"",SO2,ug/m3,1,350.1,500
EU,"old",Poor,#ff5050,4,"",NO2,ug/m3,1,120.1,230
EU,"old",Very poor,#960032,5,"",PM2.5,ug/m3,24,50.1,75
EU,"old",Very poor,#960032,5,"",PM10,ug/m3,24,100.1,150
EU,"old",Very poor,#960032,5,"",O3,ug/m3,1,240.1,380
EU,"old",Very poor,#960032,5,"",SO2,ug/m3,1,500.1,750
EU,"old",Very poor,#960032,5,"",NO2,ug/m3,1,230.1,340
EU,"old",Extremely poor,#7d2181,6,"",PM2.5,ug/m3,24,75.1,800
EU,"old",Extremely poor,#7d2181,6,"",PM10,ug/m3,24,150.1,1200
EU,"old",Extremely poor,#7d2181,6,"",O3,ug/m3,1,380.1,800
EU,"old",Extremely poor,#7d2181,6,"",SO2,ug/m3,1,750.1,1250
EU,"old",Extremely poor,#7d2181,6,"",NO2,ug/m3,1,800.1,1000
EU,"new",Good,#50f0e6,1,,PM2.5,ug/m3,1,0,5
EU,"new",Good,#50f0e6,1,,PM10,ug/m3,1,0,15
EU,"new",Good,#50f0e6,1,,O3,ug/m3,1,0,60
EU,"new",Good,#50f0e6,1,,NO2,ug/m3,1,0,10
EU,"new",Good,#50f0e6,1,,SO2,ug/m3,1,0,20
EU,"new",Fair,#50ccaa,2,,PM2.5,ug/m3,1,6,15
EU,"new",Fair,#50ccaa,2,,PM10,ug/m3,1,16,45
EU,"new",Fair,#50ccaa,2,,O3,ug/m3,1,61,100
EU,"new",Fair,#50ccaa,2,,NO2,ug/m3,1,11,25
EU,"new",Fair,#50ccaa,2,,SO2,ug/m3,1,21,40
EU,"new",Moderate,#f0e641,3,,PM2.5,ug/m3,1,16,50
EU,"new",Moderate,#f0e641,3,,PM10,ug/m3,1,46,120
EU,"new",Moderate,#f0e641,3,,O3,ug/m3,1,101,120
EU,"new",Moderate,#f0e641,3,,NO2,ug/m3,1,26,60
EU,"new",Moderate,#f0e641,3,,SO2,ug/m3,1,41,125
EU,"new",Poor,#ff5050,4,,PM2.5,ug/m3,1,51,90
EU,"new",Poor,#ff5050,4,,PM10,ug/m3,1,121,195
EU,"new",Poor,#ff5050,4,,O3,ug/m3,1,121,160
EU,"new",Poor,#ff5050,4,,NO2,ug/m3,1,61,100
EU,"new",Poor,#ff5050,4,,SO2,ug/m3,1,126,190
EU,"new",Very Poor,#960032,5,,PM2.5,ug/m3,1,91,140
EU,"new",Very Poor,#960032,5,,PM10,ug/m3,1,196,270
EU,"new",Very Poor,#960032,5,,O3,ug/m3,1,161,180
EU,"new",Very Poor,#960032,5,,NO2,ug/m3,1,101,150
EU,"new",Very Poor,#960032,5,,SO2,ug/m3,1,191,275
EU,"new",Extremely Poor,#7d2181,6,,PM2.5,ug/m3,1,140,
EU,"new",Extremely Poor,#7d2181,6,,PM10,ug/m3,1,270,
EU,"new",Extremely Poor,#7d2181,6,,O3,ug/m3,1,180,
EU,"new",Extremely Poor,#7d2181,6,,NO2,ug/m3,1,150,
EU,"new",Extremely Poor,#7d2181,6,,SO2,ug/m3,1,275,
