ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
IE,,Good,#99d35c,1,,O3,ug/m3,8,0,33
IE,,Good,#99d35c,1,,NO2,ug/m3,1,0,67
IE,,Good,#99d35c,1,,SO2,ug/m3,1,0,29
IE,,Good,#99d35c,1,,PM2.5,ug/m3,24,0,11
IE,,Good,#99d35c,1,,PM10,ug/m3,24,0,16
IE,,Good,#34b45f,2,,O3,ug/m3,8,34,66
IE,,Good,#34b45f,2,,NO2,ug/m3,1,68,134
IE,,Good,#34b45f,2,,SO2,ug/m3,1,30,59
IE,,Good,#34b45f,2,,PM2.5,ug/m3,24,12,23
IE,,Good,#34b45f,2,,PM10,ug/m3,24,17,33
IE,,Good,#318e5b,3,,O3,ug/m3,8,67,100
IE,,Good,#318e5b,3,,NO2,ug/m3,1,135,200
IE,,Good,#318e5b,3,,SO2,ug/m3,1,60,89
IE,,Good,#318e5b,3,,PM2.5,ug/m3,24,24,35
IE,,Good,#318e5b,3,,PM10,ug/m3,24,34,50
IE,,Fair,#fffa11,4,,O3,ug/m3,8,101,120
IE,,Fair,#fffa11,4,,NO2,ug/m3,1,201,267
IE,,Fair,#fffa11,4,,SO2,ug/m3,1,90,119
IE,,Fair,#fffa11,4,,PM2.5,ug/m3,24,36,41
IE,,Fair,#fffa11,4,,PM10,ug/m3,24,51,58
IE,,Fair,#ffc30d,5,,O3,ug/m3,8,121,140
IE,,Fair,#ffc30d,5,,NO2,ug/m3,1,268,334
IE,,Fair,#ffc30d,5,,SO2,ug/m3,1,120,149
IE,,Fair,#ffc30d,5,,PM2.5,ug/m3,24,42,47
IE,,Fair,#ffc30d,5,,PM10,ug/m3,24,59,66
IE,,Fair,#e4791d,6,,O3,ug/m3,8,141,160
IE,,Fair,#e4791d,6,,NO2,ug/m3,1,335,400
IE,,Fair,#e4791d,6,,SO2,ug/m3,1,150,179
IE,,Fair,#e4791d,6,,PM2.5,ug/m3,24,48,53
IE,,Fair,#e4791d,6,,PM10,ug/m3,24,67,75
IE,,Poor,#fa2e0f,7,,O3,ug/m3,8,161,187
IE,,Poor,#fa2e0f,7,,NO2,ug/m3,1,401,467
IE,,Poor,#fa2e0f,7,,SO2,ug/m3,1,180,236
IE,,Poor,#fa2e0f,7,,PM2.5,ug/m3,24,54,58
IE,,Poor,#fa2e0f,7,,PM10,ug/m3,24,76,83
IE,,Poor,#c7321f,8,,O3,ug/m3,8,188,213
IE,,Poor,#c7321f,8,,NO2,ug/m3,1,468,534
IE,,Poor,#c7321f,8,,SO2,ug/m3,1,237,295
IE,,Poor,#c7321f,8,,PM2.5,ug/m3,24,59,64
IE,,Poor,#c7321f,8,,PM10,ug/m3,24,84,91
IE,,Poor,#791a14,9,,O3,ug/m3,8,214,240
IE,,Poor,#791a14,9,,NO2,ug/m3,1,535,600
IE,,Poor,#791a14,9,,SO2,ug/m3,1,296,354
IE,,Poor,#791a14,9,,PM2.5,ug/m3,24,65,70
IE,,Poor,#791a14,9,,PM10,ug/m3,24,92,100
IE,,Very Poor,#7031a0,10,,O3,ug/m3,8,241,
IE,,Very Poor,#7031a0,10,,NO2,ug/m3,1,601,
IE,,Very Poor,#7031a0,10,,SO2,ug/m3,1,355,
IE,,Very Poor,#7031a0,10,,PM2.5,ug/m3,24,71,
IE,,Very Poor,#7031a0,10,,PM10,ug/m3,24,101,
