ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
IL,,Good,#04ff00,0,49,PM2.5,ug/m3,24,0,18.5
IL,,Good,#04ff00,0,49,PM10,ug/m3,24,0,65
IL,,Good,#04ff00,0,49,SO2,ppb,1,0,67
IL,,Good,#04ff00,0,49,NO2,ppb,1,0,53
IL,,Good,#04ff00,0,49,O3,ppb,8,0,35
IL,,Good,#04ff00,0,49,CO,ppb,0.5,0,26
IL,,Good,#04ff00,0,49,NOX,ppb,0.5,0,250
IL,,Medium,#ffff00,50,100,PM2.5,ug/m3,24,18.6,37
IL,,Medium,#ffff00,50,100,PM10,ug/m3,24,66,129
IL,,Medium,#ffff00,50,100,SO2,ppb,1,68,133
IL,,Medium,#ffff00,50,100,NO2,ppb,1,54,105
IL,,Medium,#ffff00,50,100,O3,ppb,8,36,70
IL,,Medium,#ffff00,50,100,CO,ppb,0.5,27,51
IL,,Medium,#ffff00,50,100,NOX,ppb,0.5,251,499
IL,,Low,#ff0000,101,200,PM2.5,ug/m3,24,37.5,84
IL,,Low,#ff0000,101,200,PM10,ug/m3,24,130,215
IL,,Low,#ff0000,101,200,SO2,ppb,1,134,163
IL,,Low,#ff0000,101,200,NO2,ppb,1,106,160
IL,,Low,#ff0000,101,200,O3,ppb,8,71,97
IL,,Low,#ff0000,101,200,CO,ppb,0.5,52,78
IL,,Low,#ff0000,101,200,NOX,ppb,0.5,500,750
IL,,Low,#ff0000,201,300,PM2.5,ug/m3,24,84.5,130
IL,,Low,#ff0000,201,300,PM10,ug/m3,24,216,300
IL,,Low,#ff0000,201,300,SO2,ppb,1,164,191
IL,,Low,#ff0000,201,300,NO2,ppb,1,161,213
IL,,Low,#ff0000,201,300,O3,ppb,8,98,117
IL,,Low,#ff0000,201,300,CO,ppb,0.5,79,104
IL,,Low,#ff0000,201,300,NOX,ppb,0.5,751,1000
IL,,Very low,#984806,301,400,PM2.5,ug/m3,24,130.5,165
IL,,Very low,#984806,301,400,PM10,ug/m3,24,301,355
IL,,Very low,#984806,301,400,SO2,ppb,1,192,253
IL,,Very low,#984806,301,400,NO2,ppb,1,214,260
IL,,Very low,#984806,301,400,O3,ppb,8,118,155
IL,,Very low,#984806,301,400,CO,ppb,0.5,105,130
IL,,Very low,#984806,301,400,NOX,ppb,0.5,1001,1200
IL,,Very low,#984806,401,500,PM2.5,ug/m3,24,165.5,200
IL,,Very low,#984806,401,500,PM10,ug/m3,24,356,430
IL,,Very low,#984806,401,500,SO2,ppb,1,254,303
IL,,Very low,#984806,401,500,NO2,ppb,1,261,316
IL,,Very low,#984806,401,500,O3,ppb,8,15,188
IL,,Very low,#984806,401,500,CO,ppb,0.5,131,156
IL,,Very low,#984806,401,500,NOX,ppb,0.5,1201,1400
