ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
KW,,Good,#008001,0,50,PM2.5,ug/m3,24,0,25
KW,,Good,#008001,0,50,PM10,ug/m3,24,0,100
KW,,Good,#008001,0,50,NO2,ppm,1,0,0.053
KW,,Good,#008001,0,50,O3,ppm,1,,
KW,,Good,#008001,0,50,O3,ppm,8,0,0.054
KW,,Good,#008001,0,50,CO,ppm,8,0,4.4
KW,,Good,#008001,0,50,SO2,ppm,1,0,0.035
KW,,Acceptable,#ffd602,51,100,PM2.5,ug/m3,24,25.1,75
KW,,Acceptable,#ffd602,51,100,PM10,ug/m3,24,100.1,350
KW,,Acceptable,#ffd602,51,100,NO2,ppm,1,0.054,0.1
KW,,Acceptable,#ffd602,51,100,O3,ppm,1,,
KW,,Acceptable,#ffd602,51,100,O3,ppm,8,0.055,0.07
KW,,Acceptable,#ffd602,51,100,CO,ppm,8,4.5,9.4
KW,,Acceptable,#ffd602,51,100,SO2,ppm,1,0.036,0.075
KW,,Moderate,#ff8c00,101,150,PM2.5,ug/m3,24,75.1,100
KW,,Moderate,#ff8c00,101,150,PM10,ug/m3,24,350.1,400
KW,,Moderate,#ff8c00,101,150,NO2,ppm,1,0,0.36
KW,,Moderate,#ff8c00,101,150,O3,ppm,1,0.125,0.164
KW,,Moderate,#ff8c00,101,150,O3,ppm,8,0.071,0.085
KW,,Moderate,#ff8c00,101,150,CO,ppm,8,9.5,12.4
KW,,Moderate,#ff8c00,101,150,SO2,ppm,1,0.076,0.185
KW,,Bad,#ff0000,151,200,PM2.5,ug/m3,24,100.1,150.4
KW,,Bad,#ff0000,151,200,PM10,ug/m3,24,400.1,450
KW,,Bad,#ff0000,151,200,NO2,ppm,1,0.361,0.649
KW,,Bad,#ff0000,151,200,O3,ppm,1,0.165,0.204
KW,,Bad,#ff0000,151,200,O3,ppm,8,0.086,0.105
KW,,Bad,#ff0000,151,200,CO,ppm,8,12.5,15.4
KW,,Bad,#ff0000,151,200,SO2,ppm,1,0.186,0.304
KW,,Very bad,#800080,201,300,PM2.5,ug/m3,24,150.5,250.4
KW,,Very bad,#800080,201,300,PM10,ug/m3,24,450.1,500
KW,,Very bad,#800080,201,300,NO2,ppm,1,0.65,1.249
KW,,Very bad,#800080,201,300,O3,ppm,1,0.205,0.404
KW,,Very bad,#800080,201,300,O3,ppm,8,0.106,0.2
KW,,Very bad,#800080,201,300,CO,ppm,8,15.5,30.4
KW,,Very bad,#800080,201,300,SO2,ppm,1,0.305,0.604
KW,,Hazardous,#800000,301,500,PM2.5,ug/m3,24,250.5,500.4
KW,,Hazardous,#800000,301,500,PM10,ug/m3,24,500.1,700
KW,,Hazardous,#800000,301,500,NO2,ppm,1,1.25,2.049
KW,,Hazardous,#800000,301,500,O3,ppm,1,0.405,0.604
KW,,Hazardous,#800000,301,500,O3,ppm,8,,
KW,,Hazardous,#800000,301,500,CO,ppm,8,30.5,50.4
KW,,Hazardous,#800000,301,500,SO2,ppm,1,0.605,1.004
