ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
MO,,Good,#28fe30,0,50,PM2.5,ug/m3,24,0,25
MO,,Good,#28fe30,0,50,PM10,ug/m3,24,0,50
MO,,Good,#28fe30,0,50,CO,ug/m3,8,0,5
MO,,Good,#28fe30,0,50,O3,ug/m3,8,0,80
MO,,Good,#28fe30,0,50,SO2,ug/m3,24,0,20
MO,,Good,#28fe30,0,50,NO2,ug/m3,1,0,100
MO,,Moderate,#ffff37,51,100,PM2.5,ug/m3,24,26,50
MO,,Moderate,#ffff37,51,100,PM10,ug/m3,24,51,100
MO,,Moderate,#ffff37,51,100,CO,ug/m3,8,6,10
MO,,Moderate,#ffff37,51,100,O3,ug/m3,8,81,160
MO,,Moderate,#ffff37,51,100,SO2,ug/m3,24,21,50
MO,,Moderate,#ffff37,51,100,NO2,ug/m3,1,101,200
MO,,Bad,#fd7821,101,200,PM2.5,ug/m3,24,51,115
MO,,Bad,#fd7821,101,200,PM10,ug/m3,24,101,250
MO,,Bad,#fd7821,101,200,CO,ug/m3,8,11,17
MO,,Bad,#fd7821,101,200,O3,ug/m3,8,161,240
MO,,Bad,#fd7821,101,200,SO2,ug/m3,24,51,150
MO,,Bad,#fd7821,101,200,NO2,ug/m3,1,201,700
MO,,Very Bad,#fc0019,201,300,PM2.5,ug/m3,24,116,150
MO,,Very Bad,#fc0019,201,300,PM10,ug/m3,24,251,350
MO,,Very Bad,#fc0019,201,300,CO,ug/m3,8,18,34
MO,,Very Bad,#fc0019,201,300,O3,ug/m3,8,241,400
MO,,Very Bad,#fc0019,201,300,SO2,ug/m3,24,151,475
MO,,Very Bad,#fc0019,201,300,NO2,ug/m3,1,701,1200
MO,,Severe,#e30098,301,400,PM2.5,ug/m3,24,151,250
MO,,Severe,#e30098,301,400,PM10,ug/m3,24,351,420
MO,,Severe,#e30098,301,400,CO,ug/m3,8,35,46
MO,,Severe,#e30098,301,400,O3,ug/m3,8,401,600
MO,,Severe,#e30098,301,400,SO2,ug/m3,24,476,800
MO,,Severe,#e30098,301,400,NO2,ug/m3,1,1201,2000
MO,,Harmful,#7c0006,401,500,PM2.5,ug/m3,24,251,350
MO,,Harmful,#7c0006,401,500,PM10,ug/m3,24,421,500
MO,,Harmful,#7c0006,401,500,CO,ug/m3,8,47,57
MO,,Harmful,#7c0006,401,500,O3,ug/m3,8,601,800
MO,,Harmful,#7c0006,401,500,SO2,ug/m3,24,801,1600
MO,,Harmful,#7c0006,401,500,NO2,ug/m3,1,2001,2500
