ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
MX,national,Good,#00E400,0,50,PM2.5,ug/m3,24,0,25
MX,national,Good,#00E400,0,50,PM10,ug/m3,12,0,50
MX,national,Good,#00E400,0,50,CO,ppm,8,0,8.75
MX,national,Good,#00E400,0,50,O3,ppm,1,0,0.051
MX,national,Good,#00E400,0,50,O3,ppm,8,0,0.051
MX,national,Good,#00E400,0,50,SO2,ppm,24,0,0.008
MX,national,Good,#00E400,0,50,NO2,ppm,1,0,0.107
MX,national,Acceptable,#FFFF00,51,100,PM2.5,ug/m3,24,26,45
MX,national,Acceptable,#FFFF00,51,100,PM10,ug/m3,12,51,75
MX,national,Acceptable,#FFFF00,51,100,CO,ppm,8,8.76,11
MX,national,Acceptable,#FFFF00,51,100,O3,ppm,1,0.052,0.095
MX,national,Acceptable,#FFFF00,51,100,O3,ppm,8,0.052,0.07
MX,national,Acceptable,#FFFF00,51,100,SO2,ppm,24,0.009,0.11
MX,national,Acceptable,#FFFF00,51,100,NO2,ppm,1,0.108,0.21
MX,national,Bad,#FF7E00,101,150,PM2.5,ug/m3,24,46,79
MX,national,Bad,#FF7E00,101,150,PM10,ug/m3,12,76,155
MX,national,Bad,#FF7E00,101,150,CO,ppm,8,11.01,13.3
MX,national,Bad,#FF7E00,101,150,O3,ppm,1,0.096,0.135
MX,national,Bad,#FF7E00,101,150,O3,ppm,8,0.071,0.092
MX,national,Bad,#FF7E00,101,150,SO2,ppm,24,0.111,0.165
MX,national,Bad,#FF7E00,101,150,NO2,ppm,1,0.211,0.23
MX,national,Very bad,#FF0000,151,200,PM2.5,ug/m3,24,80,147
MX,national,Very bad,#FF0000,151,200,PM10,ug/m3,12,156,235
MX,national,Very bad,#FF0000,151,200,CO,ppm,8,13.31,15.5
MX,national,Very bad,#FF0000,151,200,O3,ppm,1,0.136,0.175
MX,national,Very bad,#FF0000,151,200,O3,ppm,8,0.093,0.114
MX,national,Very bad,#FF0000,151,200,SO2,ppm,24,0.166,0.22
MX,national,Very bad,#FF0000,151,200,NO2,ppm,1,0.231,0.25
MX,national,Extremely bad,#8F3F97,201,300,PM2.5,ug/m3,24,148,
MX,national,Extremely bad,#8F3F97,201,300,PM10,ug/m3,12,236,
MX,national,Extremely bad,#8F3F97,201,300,CO,ppm,8,15.51,
MX,national,Extremely bad,#8F3F97,201,300,O3,ppm,1,0.176,
MX,national,Extremely bad,#8F3F97,201,300,O3,ppm,8,0.115,
MX,national,Extremely bad,#8F3F97,201,300,SO2,ppm,24,0.221,
MX,national,Extremely bad,#8F3F97,201,300,NO2,ppm,1,0.251,
MX,cdmx,Buena,#00e400,0,50,O3,ppm,1,0,0.055
MX,cdmx,Buena,#00e400,0,50,NO2,ppm,1,0,0.105
MX,cdmx,Buena,#00e400,0,50,SO2,ppm,24,0,0.065
MX,cdmx,Buena,#00e400,0,50,CO,ppm,8,0,5.5
MX,cdmx,Buena,#00e400,0,50,PM10,ug/m3,24,0,60
MX,cdmx,Buena,#00e400,0,50,PM2.5,ug/m3,24,0,15.4
MX,cdmx,Regular,#ffff00,51,100,O3,ppm,1,0.056,0.11
MX,cdmx,Regular,#ffff00,51,100,NO2,ppm,1,0.106,0.21
MX,cdmx,Regular,#ffff00,51,100,SO2,ppm,24,0.066,0.13
MX,cdmx,Regular,#ffff00,51,100,CO,ppm,8,5.51,11
MX,cdmx,Regular,#ffff00,51,100,PM10,ug/m3,24,61,120
MX,cdmx,Regular,#ffff00,51,100,PM2.5,ug/m3,24,15.5,40.4
MX,cdmx,Mala,#ff7e00,101,150,O3,ppm,1,0.111,0.165
MX,cdmx,Mala,#ff7e00,101,150,NO2,ppm,1,0.211,0.315
MX,cdmx,Mala,#ff7e00,101,150,SO2,ppm,24,0.131,0.195
MX,cdmx,Mala,#ff7e00,101,150,CO,ppm,8,11.01,16.5
MX,cdmx,Mala,#ff7e00,101,150,PM10,ug/m3,24,121,220
MX,cdmx,Mala,#ff7e00,101,150,PM2.5,ug/m3,24,40.5,65.4
MX,cdmx,Muy Mala,#ff0000,151,200,O3,ppm,1,0.166,0.22
MX,cdmx,Muy Mala,#ff0000,151,200,NO2,ppm,1,0.316,0.42
MX,cdmx,Muy Mala,#ff0000,151,200,SO2,ppm,24,0.196,0.26
MX,cdmx,Muy Mala,#ff0000,151,200,CO,ppm,8,16.51,22
MX,cdmx,Muy Mala,#ff0000,151,200,PM10,ug/m3,24,221,320
MX,cdmx,Muy Mala,#ff0000,151,200,PM2.5,ug/m3,24,65.5,150.4
MX,cdmx,Extremadamente Mala,#8f3f97,201,,O3,ppm,1,0.22,
MX,cdmx,Extremadamente Mala,#8f3f97,201,,NO2,ppm,1,0.42,
MX,cdmx,Extremadamente Mala,#8f3f97,201,,SO2,ppm,24,0.26,
MX,cdmx,Extremadamente Mala,#8f3f97,201,,CO,ppm,8,22,
MX,cdmx,Extremadamente Mala,#8f3f97,201,,PM10,ug/m3,24,320,
MX,cdmx,Extremadamente Mala,#8f3f97,201,,PM2.5,ug/m3,24,150.4,
