ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
MC,Monaco,Very Good,#33b8a1,0,20,NO2,ug/m3,1,0,60
MC,Monaco,Very Good,#33b8a1,0,20,PM10,ug/m3,24,0,15
MC,Monaco,Very Good,#33b8a1,0,20,O3,ug/m3,8,0,54
MC,Monaco,Good, #5ccc60,21,30,NO2,ug/m3,1,60,80
MC,Monaco,Good, #5ccc60,21,30,PM10,ug/m3,24,15,20
MC,Monaco,Good, #5ccc60,21,30,O3,ug/m3,8,54,72
MC,Monaco,Good,#99e600,31,40,NO2,ug/m3,1,80,100
MC,Monaco,Good,#99e600,31,40,PM10,ug/m3,24,20,25
MC,Monaco,Good,#99e600,31,40,O3,ug/m3,8,72,90
MC,Monaco,Good,#c3f001,41,50,NO2,ug/m3,1,100,120
MC,Monaco,Good,#c3f001,41,50,PM10,ug/m3,24,25,30
MC,Monaco,Good,#c3f001,41,50,O3,ug/m3,8,90,108
MC,Monaco,Average,#ffff01,51,60,NO2,ug/m3,1,120,140
MC,Monaco,Average,#ffff01,51,60,PM10,ug/m3,24,30,35
MC,Monaco,Average,#ffff01,51,60,O3,ug/m3,8,108,126
MC,Monaco,Poor,#ffd001,61,70,NO2,ug/m3,1,140,160
MC,Monaco,Poor,#ffd001,61,70,PM10,ug/m3,24,35,40
MC,Monaco,Poor,#ffd001,61,70,O3,ug/m3,8,126,144
MC,Monaco,Poor,#ffaa01,71,80,NO2,ug/m3,1,160,180
MC,Monaco,Poor,#ffaa01,71,80,PM10,ug/m3,24,40,45
MC,Monaco,Poor,#ffaa01,71,80,O3,ug/m3,8,144,162
MC,Monaco,Poor,#fe5e00,81,90,NO2,ug/m3,1,180,200
MC,Monaco,Poor,#fe5e00,81,90,PM10,ug/m3,24,45,50
MC,Monaco,Poor,#fe5e00,81,90,O3,ug/m3,8,162,180
MC,Monaco,Information Threshold,#fe0000,91,100,NO2,ug/m3,1,200,400
MC,Monaco,Information Threshold,#fe0000,91,100,PM10,ug/m3,24,50,80
MC,Monaco,Information Threshold,#fe0000,91,100,O3,ug/m3,8,180,240
MC,Monaco,Alert Threshold,#7f0000,101,,NO2,ug/m3,1,400,
MC,Monaco,Alert Threshold,#7f0000,101,,PM10,ug/m3,24,80,
MC,Monaco,Alert Threshold,#7f0000,101,,O3,ug/m3,8,240,
