ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
TR,,Good,#11af66,0,50,SO2,ug/m3,1,0,100
TR,,Good,#11af66,0,50,NO2,ug/m3,1,0,100
TR,,Good,#11af66,0,50,CO,ug/m3,8,0,5500
TR,,Good,#11af66,0,50,O3,ug/m3,8,0,120
TR,,Good,#11af66,0,50,PM10,ug/m3,24,0,50
TR,,Medium,#fff013,51,100,SO2,ug/m3,1,101,250
TR,,Medium,#fff013,51,100,NO2,ug/m3,1,101,200
TR,,Medium,#fff013,51,100,CO,ug/m3,8,5501,10000
TR,,Medium,#fff013,51,100,O3,ug/m3,8,121,160
TR,,Medium,#fff013,51,100,PM10,ug/m3,24,51,100
TR,,Sensitive,#ff9523,101,150,SO2,ug/m3,1,251,500
TR,,Sensitive,#ff9523,101,150,NO2,ug/m3,1,201,500
TR,,Sensitive,#ff9523,101,150,CO,ug/m3,8,10001,16000
TR,,Sensitive,#ff9523,101,150,O3,ug/m3,8,161,180
TR,,Sensitive,#ff9523,101,150,PM10,ug/m3,24,101,260
TR,,Unhealthy,#e20000,151,200,SO2,ug/m3,1,501,850
TR,,Unhealthy,#e20000,151,200,NO2,ug/m3,1,501,1000
TR,,Unhealthy,#e20000,151,200,CO,ug/m3,8,16001,24000
TR,,Unhealthy,#e20000,151,200,O3,ug/m3,8,181,240
TR,,Unhealthy,#e20000,151,200,PM10,ug/m3,24,261,400
TR,,Bad,#d10d65,201,300,SO2,ug/m3,1,851,1100
TR,,Bad,#d10d65,201,300,NO2,ug/m3,1,1001,2000
TR,,Bad,#d10d65,201,300,CO,ug/m3,8,24001,32000
TR,,Bad,#d10d65,201,300,O3,ug/m3,8,241,700
TR,,Bad,#d10d65,201,300,PM10,ug/m3,24,401,520
TR,,Dangerous,#b31340,301,500,SO2,ug/m3,1,1101,
TR,,Dangerous,#b31340,301,500,NO2,ug/m3,1,2001,
TR,,Dangerous,#b31340,301,500,CO,ug/m3,8,32001,
TR,,Dangerous,#b31340,301,500,O3,ug/m3,8,701,
TR,,Dangerous,#b31340,301,500,PM10,ug/m3,24,521,
