ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
GB,,Low,#9cff9c,1,,O3,ug/m3,8,0,33
GB,,Low,#9cff9c,1,,NO2,ug/m3,1,0,67
GB,,Low,#9cff9c,1,,SO2,ug/m3,15,0,88
GB,,Low,#9cff9c,1,,PM2.5,ug/m3,24,0,11
GB,,Low,#9cff9c,1,,PM10,ug/m3,24,0,16
GB,,Low,#31ff00,2,,O3,ug/m3,8,34,66
GB,,Low,#31ff00,2,,NO2,ug/m3,1,68,134
GB,,Low,#31ff00,2,,SO2,ug/m3,15,89,177
GB,,Low,#31ff00,2,,PM2.5,ug/m3,24,12,23
GB,,Low,#31ff00,2,,PM10,ug/m3,24,17,33
GB,,Low,#31cf00,3,,O3,ug/m3,8,67,100
GB,,Low,#31cf00,3,,NO2,ug/m3,1,135,200
GB,,Low,#31cf00,3,,SO2,ug/m3,15,178,266
GB,,Low,#31cf00,3,,PM2.5,ug/m3,24,24,35
GB,,Low,#31cf00,3,,PM10,ug/m3,24,34,50
GB,,Moderate,#ffff00,4,,O3,ug/m3,8,101,120
GB,,Moderate,#ffff00,4,,NO2,ug/m3,1,201,267
GB,,Moderate,#ffff00,4,,SO2,ug/m3,15,267,354
GB,,Moderate,#ffff00,4,,PM2.5,ug/m3,24,36,41
GB,,Moderate,#ffff00,4,,PM10,ug/m3,24,51,58
GB,,Moderate,#ffcf00,5,,O3,ug/m3,8,121,140
GB,,Moderate,#ffcf00,5,,NO2,ug/m3,1,268,334
GB,,Moderate,#ffcf00,5,,SO2,ug/m3,15,355,443
GB,,Moderate,#ffcf00,5,,PM2.5,ug/m3,24,42,47
GB,,Moderate,#ffcf00,5,,PM10,ug/m3,24,59,66
GB,,Moderate,#ff9a00,6,,O3,ug/m3,8,141,160
GB,,Moderate,#ff9a00,6,,NO2,ug/m3,1,335,400
GB,,Moderate,#ff9a00,6,,SO2,ug/m3,15,444,532
GB,,Moderate,#ff9a00,6,,PM2.5,ug/m3,24,48,53
GB,,Moderate,#ff9a00,6,,PM10,ug/m3,24,67,75
GB,,High,#ff9292,7,,O3,ug/m3,8,161,187
GB,,High,#ff9292,7,,NO2,ug/m3,1,401,467
GB,,High,#ff9292,7,,SO2,ug/m3,15,533,710
GB,,High,#ff9292,7,,PM2.5,ug/m3,24,54,58
GB,,High,#ff9292,7,,PM10,ug/m3,24,76,83
GB,,High,#ff0000,8,,O3,ug/m3,8,188,213
GB,,High,#ff0000,8,,NO2,ug/m3,1,468,534
GB,,High,#ff0000,8,,SO2,ug/m3,15,711,887
GB,,High,#ff0000,8,,PM2.5,ug/m3,24,59,64
GB,,High,#ff0000,8,,PM10,ug/m3,24,84,91
GB,,High,#990000,9,,O3,ug/m3,8,214,240
GB,,High,#990000,9,,NO2,ug/m3,1,535,600
GB,,High,#990000,9,,SO2,ug/m3,15,888,1064
GB,,High,#990000,9,,PM2.5,ug/m3,24,65,70
GB,,High,#990000,9,,PM10,ug/m3,24,92,100
GB,,Very high,#ce30ff,10,,O3,ug/m3,8,241,
GB,,Very high,#ce30ff,10,,NO2,ug/m3,1,601,
GB,,Very high,#ce30ff,10,,SO2,ug/m3,15,1065,
GB,,Very high,#ce30ff,10,,PM2.5,ug/m3,24,71,
GB,,Very high,#ce30ff,10,,PM10,ug/m3,24,101,
