ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
EU,,Good, #50f0e6,1,,PM2.5,ug/m3,24,0,10
EU,,Good, #50f0e6,1,,PM10,ug/m3,24,0,20
EU,,Good, #50f0e6,1,,O3,ug/m3,1,0,50
EU,,Good, #50f0e6,1,,SO2,ug/m3,1,0,100
EU,,Good, #50f0e6,1,,NO2,ug/m3,1,0,40
EU,,Fair,#50ccaa,2,,PM2.5,ug/m3,24,10.1,20
EU,,Fair,#50ccaa,2,,PM10,ug/m3,24,20.1,40
EU,,Fair,#50ccaa,2,,O3,ug/m3,1,50.1,100
EU,,Fair,#50ccaa,2,,SO2,ug/m3,1,100.1,200
EU,,Fair,#50ccaa,2,,NO2,ug/m3,1,40.1,90
EU,,Moderate,#f0e641,3,,PM2.5,ug/m3,24,20.1,25
EU,,Moderate,#f0e641,3,,PM10,ug/m3,24,40.1,50
EU,,Moderate,#f0e641,3,,O3,ug/m3,1,100.1,130
EU,,Moderate,#f0e641,3,,SO2,ug/m3,1,200.1,350
EU,,Moderate,#f0e641,3,,NO2,ug/m3,1,90.1,120
EU,,Poor,#ff5050,4,,PM2.5,ug/m3,24,25.1,50
EU,,Poor,#ff5050,4,,PM10,ug/m3,24,50.1,100
EU,,Poor,#ff5050,4,,O3,ug/m3,1,130.1,240
EU,,Poor,#ff5050,4,,SO2,ug/m3,1,350.1,500
EU,,Poor,#ff5050,4,,NO2,ug/m3,1,120.1,230
EU,,Very poor,#960032,5,,PM2.5,ug/m3,24,50.1,75
EU,,Very poor,#960032,5,,PM10,ug/m3,24,100.1,150
EU,,Very poor,#960032,5,,O3,ug/m3,1,240.1,380
EU,,Very poor,#960032,5,,SO2,ug/m3,1,500.1,750
EU,,Very poor,#960032,5,,NO2,ug/m3,1,230.1,340
EU,,Extremely poor,#7d2181,6,,PM2.5,ug/m3,24,75.1,800
EU,,Extremely poor,#7d2181,6,,PM10,ug/m3,24,150.1,1200
EU,,Extremely poor,#7d2181,6,,O3,ug/m3,1,380.1,800
EU,,Extremely poor,#7d2181,6,,SO2,ug/m3,1,750.1,1250
EU,,Extremely poor,#7d2181,6,,NO2,ug/m3,1,800.1,1000
